,TSLL,TSLW,MSH,MSW,MSPL,MSPD,FNL,MSPW,PGW,HKW,MSSN,SGN
0,37.77,3.03,115.8,6.07,24.57,33.4,29.77,28.81,23.34,0.32,90.33,140.67
1,64.6,4.07,155.5,6.43,29.33,31.3,33.57,38.97,29.01,0.29,153.33,99.33
3,45.63,3.23,151.8,8.5,29.53,31.57,42.7,23.65,20.27,0.32,95.0,93.33
4,43.33,3.53,125.53,6.67,27.27,33.4,32.97,30.93,26.39,0.33,131.33,133.0
6,56.7,2.13,113.37,3.87,25.47,17.37,27.33,5.99,5.03,0.26,117.0,24.0
8,39.13,2.17,141.53,3.9,16.77,22.4,40.17,4.72,3.45,0.25,105.67,25.33
9,35.27,2.4,107.1,4.93,21.43,26.53,34.0,15.13,12.29,0.23,66.0,96.67
11,45.5,2.93,146.0,6.63,31.83,24.37,34.47,26.41,22.68,0.32,101.67,105.0
12,49.9,1.87,116.93,3.8,19.6,16.77,24.17,6.53,5.23,0.24,94.67,38.67
13,36.6,2.97,122.33,6.13,28.6,30.17,29.03,29.63,22.71,0.26,93.0,116.33
14,32.43,3.03,86.07,4.63,20.2,27.37,21.17,17.97,15.22,0.29,77.0,90.33
15,36.7,2.77,119.67,6.33,18.93,28.43,37.1,26.99,21.4,0.3,106.33,119.33
16,34.9,2.83,105.5,7.0,26.3,47.73,38.73,29.36,23.79,0.3,84.33,92.0
17,34.87,2.63,114.07,5.53,22.87,31.23,20.0,25.93,21.21,0.35,101.0,119.33
18,39.0,2.97,116.47,8.2,25.2,28.1,28.83,29.57,22.35,0.37,93.0,103.67
19,42.23,2.9,109.43,5.9,23.3,22.87,32.83,19.5,16.61,0.31,86.0,95.67
20,42.4,2.63,95.87,4.27,24.3,24.27,43.37,13.7,10.87,0.36,98.67,54.67
21,39.57,2.87,106.7,6.77,28.4,24.27,34.43,27.26,22.41,0.41,110.67,75.67
22,38.83,2.67,119.53,4.93,24.5,28.0,45.73,24.16,20.9,0.39,81.67,113.0
24,37.9,2.93,127.73,6.67,25.27,25.4,37.03,26.45,22.24,0.35,115.0,101.0
25,37.93,2.5,99.67,6.13,26.67,22.83,37.8,20.2,17.09,0.4,100.67,63.67
26,31.1,2.57,107.13,5.5,19.77,24.73,29.8,12.83,10.09,0.33,72.67,76.0
27,31.17,2.27,121.1,6.57,21.23,23.2,39.67,13.79,11.17,0.31,68.33,104.33
28,40.2,2.87,118.63,7.2,25.1,32.2,44.13,24.97,20.59,0.41,73.67,88.0
32,40.3,2.93,114.17,6.17,26.9,27.67,41.3,26.82,20.79,0.36,71.33,123.33
34,40.93,2.87,99.13,5.63,22.73,25.67,37.3,26.54,21.75,0.44,78.0,106.67
35,43.4,3.17,107.87,7.0,30.97,26.8,39.03,17.19,14.73,0.38,65.67,77.0
36,42.97,2.5,122.3,7.57,26.17,29.77,22.93,22.66,18.89,0.35,100.67,98.67
37,41.33,3.07,105.47,6.4,22.87,20.57,38.2,22.54,18.52,0.31,81.0,100.33
38,34.6,2.57,118.67,7.67,17.67,30.3,35.2,20.55,16.85,0.33,97.33,81.33
40,37.8,2.77,117.63,6.0,25.17,24.5,31.93,15.99,12.67,0.35,88.0,45.33
41,35.8,2.53,125.63,8.43,22.13,21.2,33.33,23.35,18.87,0.33,100.0,77.67
42,31.6,2.6,122.83,7.67,19.83,31.37,26.2,12.28,10.31,0.31,66.0,85.0
43,43.93,2.67,130.57,6.87,25.9,29.03,34.43,31.82,26.79,0.36,75.33,164.0
44,41.97,2.93,117.07,5.23,25.1,21.53,49.4,28.29,24.26,0.3,105.67,135.33
45,41.73,2.87,122.53,8.1,23.07,27.1,31.53,16.67,14.04,0.39,83.0,91.0
46,45.17,3.13,135.47,7.53,21.2,30.07,29.4,17.6,14.09,0.34,80.0,78.0
47,46.23,3.3,105.07,6.93,26.43,37.07,34.73,20.22,17.54,0.32,77.0,126.0
48,41.3,2.8,135.17,7.77,31.0,24.43,36.93,13.99,11.56,0.34,93.67,75.0
50,43.1,2.87,132.6,7.1,21.93,27.0,31.6,19.76,17.02,0.35,78.33,117.33
51,37.23,3.07,135.57,6.97,22.53,39.93,29.63,30.36,24.99,0.3,76.0,104.0
52,48.53,3.47,131.1,7.1,29.07,39.16,40.7,16.99,13.55,0.4,61.0,109.0
53,32.67,3.0,113.2,4.97,21.87,26.5,34.67,8.37,6.82,0.32,75.5,66.5
55,47.07,3.13,116.93,6.77,22.9,33.87,37.7,21.54,17.89,0.34,64.67,112.33
56,41.37,3.13,125.1,5.73,27.33,25.4,41.33,18.01,14.61,0.38,77.67,82.67
57,41.27,3.13,123.5,7.93,31.7,29.57,42.17,29.24,23.68,0.31,103.67,127.0
58,39.3,3.07,120.5,5.23,21.3,38.0,36.67,24.27,20.74,0.3,76.0,128.0
59,41.83,2.87,114.03,5.4,23.67,28.73,42.9,15.48,12.74,0.38,76.0,68.0
60,43.57,3.3,124.4,5.77,24.23,29.67,43.2,27.94,27.17,0.4,93.0,137.67
61,41.93,3.6,121.33,5.73,30.53,39.13,24.3,42.31,36.07,0.35,94.67,121.67
62,42.67,3.13,138.67,5.83,26.63,29.13,48.37,21.37,17.61,0.38,79.0,95.33
64,41.03,2.87,139.3,7.6,26.83,31.33,46.8,28.73,21.8,0.35,74.67,137.33
68,36.97,2.7,115.77,6.53,28.93,34.97,33.37,26.98,22.38,0.34,105.0,103.33
69,36.8,2.83,117.5,5.27,19.6,38.17,31.47,28.64,24.91,0.36,73.0,137.33
70,43.37,2.77,104.47,6.43,22.33,40.13,39.7,17.97,15.37,0.39,88.67,98.67
